Brand, ProductName, ShippingPrice
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
ASUS,ASUS ROG STRIX Radeon RX 5600 XT ROG-STRIX-RX5600XT-T6G-GAMING 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,$3.99 Shipping
EVGA,EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING| 04G-P4-1457-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GV-N105TOC-4GL,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656D6-4GL 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card,Free Shipping
MSI,MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT MECH OCBV 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce GT 730 DirectX 12 N730K-2GD5LP/OC 2GB 64-Bit GDDR5 PCI Express 2.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GT 1030 DirectX 12 GV-N1030OC-2GI 2GB 64-Bit GDDR5 PCI Express x16 Video Card,$3.99 Shipping
EVGA,EVGA GeForce RTX 3090 FTW3 ULTRA GAMING Video Card| 24G-P5-3987-KR| 24GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$6.99 Shipping
